;id;name;obor;"V˝znam˝ partner";Velertr26;Kontakty
;916;"100MEGA Distribution";ELE,IT;;;2
1;771;24usoftware;IT;;;1
2;1;2N;IT;;1;1
3;630;"3E Praha Engineering";IT;;;2
4;892;4each;IT;;;1
5;629;602;IT;;;1
6;6;"ABB s.r.o.";IT;;;2
7;604;"ABBAS ";IT;;;1
8;937;ABIS;ELE;;;1
9;349;Abra;IT;;;3
10;894;"ACE IT";IT;;;
11;732;Acomware;IT;;;3
12;8;A»R;IT;1;;4
13;364;active24;IT;;;1
14;408;ADASTRA;IT;;;1
15;9;"ADAX s.r.o.";ELE;;;1
16;961;"ADEZ PRAHA S.R.O.";ELE;;;1
17;970;"advanced micro testers";ELE;;;1
18;10;"Advanced Technology Partners s.r.o.";IT;;;1
19;716;Agretimo;IT;;;1
20;12;"Air Bank";IT;;;1
21;949;"AkustickÈ centrum";ELE;;;1
22;602;"Alarm Absolon";IT;;;1
23;28;"AlarmovÈ SystÈmy (ASCZ)";IT;;;2
24;986;"Alef Nula";IT;;;1
25;980;"Alfa Union";ELE;;;1
26;758;"All In Web Service";IT;;;1
27;15;"Allcomp a.s.";ELE;;;1
28;809;Alpiq;ELE;;;1
29;801;"ALTEPRO solutions a.s.";IT;;;2
30;817;alternativo;IT;;;1
31;649;"Altis Security s.r.o.  ";IT;;;1
32;17;Alza.cz;IT;;;3
33;832;Amaro;ELE;;;
34;20;"AMiT s.r.o.";ELE,IT;;1;5
35;21;Amtech;IT;;;
36;434;"Anabix CRM";IT;;;1
37;22;Annexnet;IT;;;1
38;24;"Antee s.r.o.";IT;;;1
39;845;"Apek | Asociace pro elektronickou komerci (APEK)";IT;;;1
40;457;Apertia;IT;1;;2
41;915;apha;ELE,IT;;;1
42;618;Applifting;IT;;;1
43;709;appsisto;IT;;;1
44;780;APS;IT;;;1
45;468;Arbes;IT;;;1
46;885;"Aricoma Systems";IT;;;1
47;548;"ARION spol. s r.o.";IT;;;2
48;1001;Artex-is;IT;;1;1
49;184;Artin;IT;;;1
50;964;"Aseta services";ELE;;;1
51;29;"Asix s.r.o.";ELE;;;1
52;621;"Asociace datov˝ch center, z.s.";IT;;;1
53;323;AspectWorks;IT;;;1
54;941;"Asseco Solution";IT;;;1
55;30;"Assist s.r.o.";IT;;;2
56;31;"Astra Security a.s.";ELE;;;1
57;883;"ATC Energo";ELE;;;1
58;866;"Atlantis telecom";ELE,IT;;;1
59;32;"ATOS IT Solutions and Services s.r.o.";IT;;;2
60;931;Atrak;ELE;;;1
61;827;"Aura medical";;;;
62;664;"AUREL CZ s.r.o.";IT;;;
63;966;"Aux technology";ELE;;;1
64;852;"AV media";ELE,IT;;;3
65;36;"Avast Software";ELE;;;
66;838;"Avenga Czechia (qinshift)";IT;;;
67;821;Axa-assistance;IT;;;
68;672;Axians;IT;;;2
69;638;"AZ elektro";IT;;;1
70;38;"AZ Eletroprojekce s.r.o.";ELE;;;1
71;40;"AéD Praha s.r.o.";IT;;;2
72;42;"Baader Computer spol. s r.o.";IT;;;
73;959;Backbone;IT;;;1
74;663;"BAGHIRRA s.r.o.";IT;;;1
75;939;Baka;IT;;;
76;843;Balonton;ELE;;;1
77;925;Barleysolutions;IT;;1;1
78;725;Base;IT;;;1
79;718;bbrands;IT;;;1
80;665;"BCS Automotive Interface Solutions";IT;;1;2
81;351;"BCV solutions s.r.o .";IT;;;2
82;501;BetSys;IT;;;1
83;712;"BinSmart EU s.r.o";IT;;;1
84;492;BIS;IT;1;1;1
85;997;"Biz BOx";IT;;;1
86;46;"Blue Panther s.r.o.";ELE;;;1
87;326;"blue-infinity s. r. o.";IT;;;
88;994;BlueGhost;IT;;;1
89;936;"Blumenbecker Prag";ELE;;;1
90;790;"Bohemia Interactive A.S.";IT;;;2
91;50;Bosch;ELE;;;2
92;963;Brema;ELE;;;1
93;975;"Brinks cash solution";IT;;;1
94;53;"BSL s.r.o.";IT;;;1
95;54;"BSP Technology";IT;;;1
96;996;BSshop;IT;;;1
97;626;btlnet;IT;;1;4
98;657;"B¸hler Praha s.r.o.";ELE;;1;6
99;891;"BUREAU VERITAS CERTIFICATION";IT;;;1
100;55;"Businesscom a.s.";ELE;;;1
101;56;"Byzance IT";IT;;;1
102;770;callida;IT;;;1
103;470;Canon;IT;;;1
104;791;"Capcom slaboproudÈ systÈmy s.r.o.";ELE;;;1
105;917;"CARBOUNION INVEST";ELE,IT;;;3
106;723;carebot;IT;;;1
107;696;"Carl Zeiss";IT;;1;1
108;860;"Carrier ChladicÌ Technika";ELE;;;1
109;60;"CASABLANCA INT s.r.o.";IT;;1;1
110;938;CCS;ELE,IT;;;1
111;895;"»D - infrormaËnÌ systÈmy";IT;;;
112;82;"»D Telematika a.s.";ELE;;;2
113;61;"CDC Data s.r.o.";IT;;;1
114;63;cdn77;IT;;;1
115;816;Cebia;ELE,IT;;;1
116;64;"Cegelec a.s.";IT;;;1
117;729;"CENDIS, s.p.";IT;;;1
118;84;»EPS;IT;;;2
119;335;certicon;IT;;;2
120;981;"»esk· it akademie";IT;;;1
121;922;"»esk· leteck· servisnÌ a.s. (CLS)";ELE;;1;1
122;711;"»esk· podnikatelsk· pojiöùovna (CPP)";IT;;;1
123;86;"»esk· Pojiöùovna";IT;;;
124;87;"»esk· spo¯itelna (Ësas)";IT;;;4
125;89;"»esk· televize (»T)";IT;1;;3
126;613;"»eskÈ dr·hy";ELE;;1;1
127;90;"»eskÈ Radiokomunikace (CRA)";IT;;1;7
128;608;"»ESK˝ INSTITUT INFORMATIKY ROBOTIKY KYBERNETIKY";IT;;;2
129;944;"»esk˝ metrologick˝ institut (Ëmi)";ELE,IT;;;1
130;697;Cetin;IT;;;1
131;94;"»EZ Distribuce a.s.";ELE;1;1;2
132;704;"CGI IT Czech Republic s.r.o.";IT;;;2
133;764;cgs-labs;IT;;;1
134;95;"»IP plus s.r.o.";ELE;;;1
135;889;Cisco;IT;;;1
136;69;"Clasic CZ s.r.o.";ELE;;;1
137;71;cloudinfrastack;IT;;;1
138;856;CloudTEK;IT;;;1
139;600;"»MIS s.r.o.";IT;;;1
140;72;"CMS Consulting s.r.o.";IT;;;1
141;822;"cnw computer network";IT;;;1
142;681;"Coca-Cola HBC";IT;;;
143;877;Colsys;ELE,IT;;;2
144;73;"ComAp a. s.";IT;1;1;2
145;599;"Commerzbank AG";IT;1;1;6
146;985;COmPRAg;IT;;;1
147;662;"Comproject s.r.o.";IT;;;1
148;313;"Computer System Group";ELE,IT;;;2
149;74;"con4PAS a.s.";IT;;;1
150;76;"Conrad electronic";IT;;;2
151;77;"Continental Automovie Czech Rep.";IT;;;3
152;703;"COOLHOUSING Data Center";IT;;;1
153;79;Coolpeople;IT;;;2
154;888;"CoreIT s.r.o.";IT;;;1
155;957;corpus;IT;;;1
156;324;CRV;IT;;;1
157;1003;"CS SOFT a.s.";ELE;;;1
158;96;»SOB;IT;;;
159;741;"»SOB Pojiöùovna";IT;;;2
160;153;Cubeteam;IT;;;1
161;720;Cyberchain;IT;;;1
162;796;Cybosec;IT;;;1
163;829;"Cybosec (Bitdefender)";IT;;;1
164;733;Cybrela;IT;;;1
165;354;"CZ NIC,  Turris";IT;;;1
166;857;"Czech software Consultancy";IT;;;1
